Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pages,Chrome 59.0.3071.115,,2017-07-18 10:48:16,2017-07-18 10:58:03,9m - 47.095s,FAILED
,,,,,,
Test Cases/My Content/Global TestCases/Login Via Website,Chrome 59.0.3071.115,"Switch Between \""Login Via Website\"" and \""Login Via Accounts\""",2017-07-18 10:48:17,2017-07-18 10:48:47,30.531s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-18 10:48:19,2017-07-18 10:48:27,8.405s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-18 10:48:27,2017-07-18 10:48:36,8.392s,PASSED
maximizeWindow,Chrome 59.0.3071.115,,2017-07-18 10:48:36,2017-07-18 10:48:37,1.497s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:48:37,2017-07-18 10:48:38,1.026s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:48:38,2017-07-18 10:48:39,0.443s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:48:39,2017-07-18 10:48:47,8.027s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:48:47,2017-07-18 10:48:47,0.702s,PASSED
,,,,,,
Test Cases/My Content/Pages/Modal/Verify_Draft/Draft_Add,Chrome 59.0.3071.115,,2017-07-18 10:48:48,2017-07-18 10:49:56,1m - 8.816s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:48:49,2017-07-18 10:49:12,22.890s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:49:12,2017-07-18 10:49:13,0.639s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:49:13,2017-07-18 10:49:15,2.319s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:49:15,2017-07-18 10:49:16,1.267s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:16,2017-07-18 10:49:17,1.130s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:49:17,2017-07-18 10:49:17,0.192s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:49:17,2017-07-18 10:49:18,0.608s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:49:18,2017-07-18 10:49:18,0.063s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:49:18,2017-07-18 10:49:18,0.174s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:49:18,2017-07-18 10:49:56,37.278s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:49:56,2017-07-18 10:49:56,0.475s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:49:56,2017-07-18 10:49:56,0.112s,PASSED
Statement - actual_title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Preview  junetest2bda/span_Test Draft 1)),Chrome 59.0.3071.115,,2017-07-18 10:49:56,2017-07-18 10:49:56,0.126s,PASSED
verifyMatch,Chrome 59.0.3071.115,,2017-07-18 10:49:56,2017-07-18 10:49:56,0.022s,PASSED
