Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 59.0.3071.115,,2017-07-24 16:06:58,2017-07-24 16:06:58,0.149s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-24 16:06:58,2017-07-24 16:07:35,36.141s,PASSED
,,,,,,
Test Cases/My Content/Product and Services/Modal/close_PandS_Modals,Chrome 59.0.3071.115,,2017-07-24 16:07:35,2017-07-24 16:07:42,7.514s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:07:35,2017-07-24 16:07:37,2.089s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:07:37,2017-07-24 16:07:39,2.200s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:07:39,2017-07-24 16:07:40,0.491s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:07:40,2017-07-24 16:07:41,1.598s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:07:41,2017-07-24 16:07:42,0.153s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:07:42,2017-07-24 16:07:42,0.382s,PASSED
verifyElementNotPresent,Chrome 59.0.3071.115,,2017-07-24 16:07:42,2017-07-24 16:07:42,0.135s,PASSED
,,,,,,
Test Cases/My Content/Product and Services/Modal/Verify_Draft/Draft_Edit1_PandS_,Chrome 59.0.3071.115,,2017-07-24 16:07:42,2017-07-24 16:09:11,1m - 29.139s,FAILED
callTestCase,Chrome 59.0.3071.115,,2017-07-24 16:07:43,2017-07-24 16:08:28,45.043s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:08:28,2017-07-24 16:08:30,1.923s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:08:30,2017-07-24 16:08:32,2.233s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-24 16:08:32,2017-07-24 16:08:32,0.433s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:08:32,2017-07-24 16:08:33,0.156s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:08:33,2017-07-24 16:08:34,1.793s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:08:34,2017-07-24 16:08:35,0.700s,PASSED
Statement - ProductWeightValue = ProductMemberWeight,Chrome 59.0.3071.115,,2017-07-24 16:08:35,2017-07-24 16:08:35,0.001s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:08:35,2017-07-24 16:08:35,0.200s,PASSED
Statement - ProductMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-24 16:08:35,2017-07-24 16:08:35,0.000s,PASSED
check,Chrome 59.0.3071.115,,2017-07-24 16:08:35,2017-07-24 16:08:35,0.074s,PASSED
Statement - Selected_icon = CustomKeywords.random.Rand_Icon_PS.rand_icon(81),Chrome 59.0.3071.115,Random Icon Selector\\r\\n,2017-07-24 16:08:35,2017-07-24 16:08:35,0.001s,PASSED
selectOptionByIndex,Chrome 59.0.3071.115,,2017-07-24 16:08:35,2017-07-24 16:08:36,0.325s,PASSED
Statement - Ctext = CustomKeywords.random.Rand_CkEd_Text.rand_text(CKText),Chrome 59.0.3071.115,Random Ckeditor Text Generator\\r\\n,2017-07-24 16:08:36,2017-07-24 16:08:36,0.000s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-24 16:08:36,2017-07-24 16:08:36,0.052s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:08:36,2017-07-24 16:08:39,2.933s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-24 16:08:39,2017-07-24 16:08:39,0.021s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-24 16:08:39,2017-07-24 16:08:39,0.067s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:08:39,2017-07-24 16:09:00,21.294s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-24 16:09:00,2017-07-24 16:09:01,0.453s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-24 16:09:01,2017-07-24 16:09:11,10.796s,FAILED
,,,,,,
Test Cases/My Content/Product and Services/Modal/Verify_Draft/Draft_Add_Delete_PandS_,Chrome 59.0.3071.115,,2017-07-24 16:09:11,2017-07-24 16:10:47,1m - 35.853s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:09:12,2017-07-24 16:09:14,2.123s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:09:14,2017-07-24 16:09:16,2.352s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:09:16,2017-07-24 16:09:17,0.860s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-24 16:09:17,2017-07-24 16:09:17,0.103s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:09:17,2017-07-24 16:09:19,1.865s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:09:19,2017-07-24 16:09:21,1.339s,PASSED
Statement - ProductWeightValue = ProductMemberWeight,Chrome 59.0.3071.115,,2017-07-24 16:09:21,2017-07-24 16:09:21,0.001s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:09:21,2017-07-24 16:09:21,0.298s,PASSED
Statement - ProductMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-24 16:09:21,2017-07-24 16:09:21,0.001s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-24 16:09:21,2017-07-24 16:09:21,0.069s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:09:21,2017-07-24 16:10:00,39.026s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:10:00,2017-07-24 16:10:02,2.340s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:10:02,2017-07-24 16:10:04,2.178s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:10:04,2017-07-24 16:10:05,0.518s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:10:05,2017-07-24 16:10:06,0.632s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-24 16:10:06,2017-07-24 16:10:43,37.095s,PASSED
verifyElementNotPresent,Chrome 59.0.3071.115,,2017-07-24 16:10:43,2017-07-24 16:10:43,0.038s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:10:43,2017-07-24 16:10:45,2.049s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:10:45,2017-07-24 16:10:47,1.984s,PASSED
verifyTextNotPresent,Chrome 59.0.3071.115,,2017-07-24 16:10:47,2017-07-24 16:10:47,0.479s,PASSED
,,,,,,
Test Cases/My Content/Product and Services/Modal/Verify_Draft/Draft_Send_to_review_PandS_,Chrome 59.0.3071.115,,2017-07-24 16:10:47,2017-07-24 16:12:02,1m - 14.969s,PASSED
callTestCase,Chrome 59.0.3071.115,,2017-07-24 16:10:48,2017-07-24 16:11:32,44.314s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:11:32,2017-07-24 16:11:34,1.888s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:11:34,2017-07-24 16:11:37,2.729s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-24 16:11:37,2017-07-24 16:11:37,0.437s,PASSED
