Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 59.0.3071.115,,2017-07-18 10:52:03,2017-07-18 10:52:04,0.786s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:52:04,2017-07-18 10:52:08,3.860s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:52:08,2017-07-18 10:52:08,0.553s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:08,2017-07-18 10:52:09,0.702s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:52:09,2017-07-18 10:52:09,0.376s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:52:09,2017-07-18 10:52:09,0.046s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:52:09,2017-07-18 10:52:45,36.172s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:52:45,2017-07-18 10:52:46,0.348s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:52:46,2017-07-18 10:53:04,17.754s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:53:04,2017-07-18 10:53:04,0.567s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:53:04,2017-07-18 10:53:05,0.673s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-18 10:53:05,2017-07-18 10:53:39,34.567s,PASSED
verifyElementNotPresent,Chrome 59.0.3071.115,,2017-07-18 10:53:39,2017-07-18 10:53:39,0.060s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:53:39,2017-07-18 10:53:42,2.982s,PASSED
verifyTextNotPresent,Chrome 59.0.3071.115,,2017-07-18 10:53:42,2017-07-18 10:53:43,0.971s,PASSED
,,,,,,
Test Cases/My Content/Blogs/Modal/Verify_Draft/Draft_Send_to_review_blog,Chrome 59.0.3071.115,,2017-07-18 10:53:43,2017-07-18 10:54:28,44.296s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:53:44,2017-07-18 10:53:44,0.753s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:53:44,2017-07-18 10:54:03,18.998s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:54:03,2017-07-18 10:54:04,0.485s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:54:04,2017-07-18 10:54:07,2.927s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:54:07,2017-07-18 10:54:07,0.333s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:54:07,2017-07-18 10:54:07,0.152s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:54:07,2017-07-18 10:54:27,19.383s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:54:27,2017-07-18 10:54:27,0.580s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:54:27,2017-07-18 10:54:27,0.173s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-18 10:54:27,2017-07-18 10:54:28,0.261s,PASSED
,,,,,,
Test Cases/My Content/Blogs/Modal/Verify_Send_to_review/Send_to_review_Add_blogs,Chrome 59.0.3071.115,,2017-07-18 10:54:28,2017-07-18 10:55:50,1m - 22.578s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:54:28,2017-07-18 10:54:48,19.827s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:54:48,2017-07-18 10:55:07,18.616s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:55:07,2017-07-18 10:55:07,0.665s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:55:07,2017-07-18 10:55:10,2.754s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:55:10,2017-07-18 10:55:10,0.307s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:55:10,2017-07-18 10:55:11,0.987s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:55:11,2017-07-18 10:55:12,0.811s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:55:12,2017-07-18 10:55:12,0.077s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:55:12,2017-07-18 10:55:13,0.357s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:55:13,2017-07-18 10:55:13,0.011s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:55:13,2017-07-18 10:55:13,0.042s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:55:13,2017-07-18 10:55:49,36.751s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:55:49,2017-07-18 10:55:50,0.431s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:55:50,2017-07-18 10:55:50,0.062s,PASSED
Statement - actual_title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Preview  junetest2bda/span_Test Draft 1)),Chrome 59.0.3071.115,,2017-07-18 10:55:50,2017-07-18 10:55:50,0.059s,PASSED
verifyMatch,Chrome 59.0.3071.115,,2017-07-18 10:55:50,2017-07-18 10:55:50,0.001s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:55:50,2017-07-18 10:55:50,0.012s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:55:50,2017-07-18 10:55:50,0.133s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-18 10:55:50,2017-07-18 10:55:50,0.166s,PASSED
,,,,,,
Test Cases/My Content/Blogs/Modal/Verify_Send_to_review/Send_to_review_Edit_blog,Chrome 59.0.3071.115,,2017-07-18 10:55:50,2017-07-18 10:56:27,36.945s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:55:51,2017-07-18 10:55:53,2.684s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:55:53,2017-07-18 10:55:56,2.571s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:55:56,2017-07-18 10:55:57,0.695s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:55:57,2017-07-18 10:56:00,3.519s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:56:00,2017-07-18 10:56:01,0.323s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:56:01,2017-07-18 10:56:01,0.872s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:56:01,2017-07-18 10:56:02,0.416s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:56:02,2017-07-18 10:56:02,0.042s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:56:02,2017-07-18 10:56:02,0.246s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:56:02,2017-07-18 10:56:02,0.013s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:56:02,2017-07-18 10:56:02,0.085s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:56:02,2017-07-18 10:56:22,19.555s,PASSED
click,Chrome 59.0.3071.115,Click to Design Tab\\r\\n,2017-07-18 10:56:22,2017-07-18 10:56:26,4.261s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:56:26,2017-07-18 10:56:27,0.989s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-18 10:56:27,2017-07-18 10:56:27,0.061s,PASSED
Statement - actual_title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Preview  junetest2bda/span_Test Draft 1)),Chrome 59.0.3071.115,,2017-07-18 10:56:27,2017-07-18 10:56:27,0.056s,PASSED
verifyMatch,Chrome 59.0.3071.115,,2017-07-18 10:56:27,2017-07-18 10:56:27,0.001s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:56:27,2017-07-18 10:56:27,0.073s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:56:27,2017-07-18 10:56:27,0.128s,PASSED
verifyTextPresent,Chrome 59.0.3071.115,,2017-07-18 10:56:27,2017-07-18 10:56:27,0.001s,NOT_RUN
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-18 10:56:27,2017-07-18 10:56:27,0.001s,NOT_RUN
,,,,,,
Test Cases/My Content/Blogs/Modal/Verify_Send_to_review/Send_to_review_Add_Delete_blog,Chrome 59.0.3071.115,,2017-07-18 10:56:27,2017-07-18 10:57:56,1m - 28.699s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:56:28,2017-07-18 10:56:30,2.195s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:56:30,2017-07-18 10:56:33,2.846s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:56:33,2017-07-18 10:56:33,0.488s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:56:33,2017-07-18 10:56:36,2.713s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-18 10:56:36,2017-07-18 10:56:36,0.511s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:56:36,2017-07-18 10:56:37,0.787s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-18 10:56:37,2017-07-18 10:56:38,0.423s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-18 10:56:38,2017-07-18 10:56:38,0.048s,PASSED
click,Chrome 59.0.3071.115,,2017-07-18 10:56:38,2017-07-18 10:57:14,36.524s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-18 10:57:14,2017-07-18 10:57:15,0.343s,PASSED
