Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pages,Chrome 59.0.3071.115,,2017-07-17 12:26:21,2017-07-17 12:32:45,6m - 24.270s,FAILED
,,,,,,
Test Cases/My Content/Global TestCases/Login Via Website,Chrome 59.0.3071.115,"Switch Between \""Login Via Website\"" and \""Login Via Accounts\""",2017-07-17 12:26:22,2017-07-17 12:26:44,21.673s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-17 12:26:23,2017-07-17 12:26:29,5.839s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-17 12:26:29,2017-07-17 12:26:34,5.030s,PASSED
maximizeWindow,Chrome 59.0.3071.115,,2017-07-17 12:26:34,2017-07-17 12:26:35,1.282s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-17 12:26:35,2017-07-17 12:26:36,0.531s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-17 12:26:36,2017-07-17 12:26:36,0.285s,PASSED
click,Chrome 59.0.3071.115,,2017-07-17 12:26:36,2017-07-17 12:26:44,7.529s,PASSED
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-17 12:26:44,2017-07-17 12:26:44,0.272s,PASSED
,,,,,,
Test Cases/My Content/Pages/Modal/Verify_Draft/Draft_Add,Chrome 59.0.3071.115,,2017-07-17 12:26:44,2017-07-17 12:28:19,1m - 34.675s,FAILED
click,Chrome 59.0.3071.115,,2017-07-17 12:26:45,2017-07-17 12:27:05,20.434s,PASSED
click,Chrome 59.0.3071.115,,2017-07-17 12:27:05,2017-07-17 12:27:06,0.754s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-17 12:27:06,2017-07-17 12:27:08,2.263s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-17 12:27:08,2017-07-17 12:27:09,0.812s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-17 12:27:09,2017-07-17 12:27:10,1.055s,PASSED
switchToFrame,Chrome 59.0.3071.115,,2017-07-17 12:27:10,2017-07-17 12:27:10,0.186s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-17 12:27:10,2017-07-17 12:27:11,0.596s,PASSED
switchToDefaultContent,Chrome 59.0.3071.115,,2017-07-17 12:27:11,2017-07-17 12:27:11,0.049s,PASSED
verifyElementClickable,Chrome 59.0.3071.115,,2017-07-17 12:27:11,2017-07-17 12:27:11,0.105s,PASSED
click,Chrome 59.0.3071.115,,2017-07-17 12:27:11,2017-07-17 12:27:47,35.321s,PASSED
